Hashtag,URL,choujiang,content_category,depthT,guanzhu,hongbao,mention,picture,release_time,wordlenth
107,119,34,408,75,34,31,105,100,1266,1031
137,146,48,471,195,49,42,137,107,1490,1163
138,125,35,407,315,42,34,109,119,1382,1057
147,142,32,459,435,44,33,125,105,1510,1139
137,129,34,428,555,51,35,114,101,1394,1005
137,142,31,427,675,44,33,111,116,1393,1064
121,122,38,399,795,38,31,108,115,1289,963
132,119,40,416,915,39,29,120,105,1340,1007
112,99,37,353,1035,34,25,82,88,1218,854
133,115,40,404,1155,40,28,102,99,1291,977
137,139,39,440,1275,56,30,117,111,1387,1045
139,133,41,446,1395,53,32,115,118,1329,1092
119,129,35,416,1515,48,38,115,100,1307,1009
136,120,32,404,1635,50,31,119,92,1328,993
121,117,34,397,1755,49,31,110,99,1273,968
140,124,38,435,1875,50,28,117,115,1352,1070
120,117,36,389,1995,49,31,107,108,1288,943
141,133,39,406,2115,48,35,102,106,1360,1110
134,106,36,414,2235,46,31,100,98,1286,933
135,113,35,432,2355,57,38,110,93,1311,981
150,120,34,460,2475,55,29,121,117,1395,1045
134,132,30,442,2595,51,28,115,108,1368,1032
162,125,36,478,2715,60,34,141,128,1472,1142
162,126,38,482,2835,50,32,130,116,1423,1174
124,123,35,415,2955,54,31,114,107,1270,971
155,121,34,456,3075,61,28,135,95,1362,1130
137,107,37,443,3195,59,31,143,93,1351,1029
149,119,39,476,3315,55,32,134,98,1388,1130
126,115,39,436,3435,52,35,107,97,1288,964
135,111,31,428,3555,51,30,122,89,1268,975
131,122,40,432,3675,46,36,119,96,1306,977
165,136,44,469,3795,59,35,144,112,1409,1145
141,104,37,393,3915,57,32,126,98,1291,984
135,123,39,418,4035,59,33,118,95,1305,980
157,125,38,466,4155,63,30,148,103,1439,1164
139,117,42,455,4275,61,32,140,102,1373,1049
