Hashtag,URL,choujiang,content_category,guanzhu,hongbao,mention,picture,release_time,scaleT,wordlenth
151,183,34,490,53,28,164,105,1600,75,1304
204,207,39,649,58,35,179,145,2193,195,1646
207,195,34,668,51,31,179,176,2245,315,1680
222,224,46,734,58,41,243,188,2506,435,1855
229,237,41,780,74,43,264,206,2458,555,2022
254,243,43,748,71,36,253,204,2589,675,2022
209,249,32,714,56,40,234,181,2406,795,1997
231,232,45,716,58,39,195,180,2301,915,2007
138,173,31,458,45,22,154,119,1550,1035,1357
128,163,38,447,48,25,163,109,1565,1155,1360
198,214,41,626,68,33,216,180,2121,1275,1760
177,196,33,541,53,33,196,144,2005,1395,1598
139,150,33,464,56,27,161,119,1587,1515,1388
223,231,46,715,72,27,217,189,2320,1635,1907
199,230,43,658,69,36,184,186,2077,1755,1776
149,171,43,537,64,30,171,131,1909,1875,1464
135,153,38,423,51,20,148,124,1467,1995,1235
195,182,48,565,50,32,173,139,2064,2115,1585
180,175,44,565,63,29,186,147,1959,2235,1592
175,179,41,573,56,31,190,155,1895,2355,1511
194,204,48,617,69,38,181,168,2084,2475,1727
167,188,40,531,53,37,186,143,1932,2595,1542
155,177,46,503,62,34,173,127,1899,2715,1470
150,166,42,502,63,36,175,136,1822,2835,1446
154,180,39,541,61,33,173,126,1891,2955,1472
158,179,37,577,73,44,172,157,2003,3075,1555
162,171,49,536,63,36,180,150,1878,3195,1450
142,170,49,496,68,32,167,113,1724,3315,1397
155,178,44,544,63,41,168,126,1838,3435,1429
154,174,48,526,64,35,165,132,1826,3555,1480
146,194,53,511,56,45,172,127,1847,3675,1480
150,175,44,534,58,41,192,148,1872,3795,1471
130,162,55,495,64,33,147,130,1610,3915,1379
147,178,56,592,65,48,180,150,1991,4035,1570
138,166,48,487,62,38,162,139,1703,4155,1420
151,163,55,484,57,33,176,158,1856,4275,1471
